4510;Equipo;Equipo durante el período seleccionado;Posición específica;Edad;Valor de mercado (Transfermarkt);Vencimiento contrato;Partidos jugados;Minutos jugados;Goles;xG;Asistencias;xA;Duelos/90;Duelos ganados, %;País de nacimiento;Pasaporte;Pie;Altura;Peso;En prestamo;Acciones defensivas realizadas/90;Duelos defensivos/90;Duelos defensivos ganados, %;Duelos aéreos en los 90;Duelos aéreos ganados, %;Entradas/90;Posesión conquistada después de una entrada;Tiros interceptados/90;Interceptaciones/90;Posesión conquistada después de una interceptación;Faltas/90;Tarjetas amarillas;Tarjetas amarillas/90;Tarjetas rojas;Tarjetas rojas/90;Acciones de ataque exitosas/90;Goles/90;Goles (excepto los penaltis);Goles, excepto los penaltis/90;xG/90;Goles de cabeza;Goles de cabeza/90;Remates;Remates/90;Tiros a la portería, %;Goles hechos, %;Asistencias/90;Centros/90;Precisión centros, %;Centros desde la banda izquierda/90;Precisión centros desde la banda izquierda, %;Centros desde la banda derecha/90;Precisión centros desde la banda derecha, %;Centros al área pequeña/90;Regates/90;Regates realizados, %;Duelos atacantes/90;Duelos atacantes ganados, %;Toques en el área de penalti/90;Carreras en progresión/90;Aceleraciones/90;Pases largos recibidos/90;Faltas recibidas/90;Pases/90;Precisión pases, %;Pases hacia adelante/90;Precisión pases hacia adelante, %;Pases hacia atrás/90;Precision pases hacia atrás, %;Pases laterales/90;Precisión pases laterales, %;Pases cortos / medios /90;Precisión pases cortos / medios, %;Pases largos/90;Precisión pases largos, %;Longitud media pases, m;Longitud media pases largos, m;xA/90;Asistencias/90;Second assists/90;Third assists/90;Desmarques/90;Precisión desmarques, %;Jugadas claves/90;Pases en el último tercio/90;Precisión pases en el último tercio, %;Pases al área de penalti/90;Pases hacía el área pequeña, %;Pases en profundidad/90;Precisión pases en profundidad, %;Ataque en profundidad/90;Centros desde el último tercio/90;Pases progresivos/90;Precisión pases progresivos, %;Tiros libres/90;Tiros libres directos/90;Tiros libres directos, %;Córneres/90;Penaltis a favor;Penaltis realizados, %
B. Sosa;Ajax;Ajax;LB;26;15000000;2025-06-30;20;1227;0;0,09;5;2,68;11,52;52,7;Croatia;Croatia, Germany;izquierdo;187;79;no;7,63;5,76;60,81;1,48;47,37;0,39;0,55;0,23;3,74;5,27;0,54;2;0,15;0;0;2,96;0;0;0;0,01;0;0;6;0,47;16,67;0;0,39;5,53;36,62;5,29;36,76;0,23;33,33;0,54;1,4;61,11;2,72;45,71;0,78;1,63;0,62;2,1;0,23;49,59;83,52;14,71;76,72;8,02;97,09;20,48;82,13;39,08;92,43;5,06;64,62;20,73;33,02;0,21;1,4;0;0;0;0;1,09;4,98;78,13;5,68;45,21;0,7;33,33;0,78;2,02;8,33;84,11;0,31;0,08;100;0,47;0;0
S. Bastoni;Empoli;Empoli;LB;27;7500000;2025-06-30;11;539;0;0,03;0;0,34;19,37;62,07;Italy;Italy;izquierdo;181;74;si;10,35;8,52;64,71;2,84;52,94;0,5;0,66;0;4,34;5,74;1,84;1;0,17;0;0;3,34;0;0;0;0;0;0;3;0,5;0;0;0;3,51;47,62;3,17;47,37;0,33;50;0,33;2;83,33;6,01;55,56;1,17;1,17;0,83;1,34;1,34;40,07;75,83;18,37;67,27;4,34;92,31;12,69;81,58;29,72;82,58;6,85;60,98;20,83;31,24;0,06;0,5;0;0;0,17;0;0,33;6,85;73,17;4,01;50;0,5;66,67;0,67;1,84;10,52;66,67;0,5;0,33;0;1,84;0;0
J. Angulo;Tigres UANL;Tigres UANL;LB, LCB;26;7000000;2025-06-30;36;3357;4;1,26;0;1,75;16,8;58,36;Mexico;Mexico;izquierdo;179;80;no;9,89;8,24;63,88;2,67;57,73;0,5;0,73;0,19;4,13;6,06;1,13;9;0,24;0;0;1,63;0,11;4;0,11;0,03;1;0,03;22;0,61;31,82;18,182;0;1,16;54,76;1,1;52,5;0,03;100;0,03;1,07;61,54;3,33;51,24;0,44;0,83;0,36;1,21;1,13;43,33;83,6;18,29;72,14;5,23;93,68;14,1;93,16;35,73;90,98;6,5;47,46;21,4;40,98;0,05;0,47;0;0,06;0,25;55,56;0,25;7,93;64,58;2,23;46,91;1,05;34,21;0,39;0,63;9,17;79,88;0;0;0;0;0;0
Brian Oliván;Espanyol;Espanyol;LB;29;6000000;2025-06-30;24;1975;0;0,73;2;3,57;11,44;49,8;Spain;Spain;izquierdo;175;73;no;7,34;5,65;64,52;2,19;33,33;0,32;0,46;0,36;3,37;4,82;1,23;4;0,18;0;0;1,91;0;0;0;0,03;0;0;13;0,59;7,69;0;0,09;4,28;32,98;4,15;32,97;0,14;33,33;0,5;0,96;47,62;1,87;41,46;0,82;1,18;0,46;2,19;0,46;33,9;72,45;11,98;58,94;6,61;97,93;9,84;70,83;24,93;82,82;4,97;51,38;20,62;35,32;0,16;0,87;0,05;0,05;0,18;0;0,5;4,6;49,5;3,69;44,44;0,68;13,33;0,46;1,46;8,52;69,52;0,41;0,14;33,33;0,96;0;0
Álvaro Fernández;Benfica;Benfica;LB, LAMF;20;6000000;2024-06-30;16;689;0;0,54;0;0,77;25,21;51,3;Spain;Spain;izquierdo;186;78;si;9,93;9,27;64,79;2,35;66,67;0,26;0,38;0;3,66;5,38;1,04;1;0,13;0;0;3,13;0;0;0;0,07;0;0;5;0,65;20;0;0;2,48;31,58;2,48;31,58;0;0;0,26;3,66;60,71;10,58;41,98;2,22;2,74;0,52;2,09;1,7;39,32;80,73;11,76;73,33;5,36;95,12;13,06;81;35,14;85,13;1,7;61,54;16,13;19,7;0,1;1,18;0;0;0,13;0;0,39;4,44;67,65;2,61;55;0,13;0;1,31;0,78;7,45;68,42;0;0;0;0,26;0;0
O. Campos;Santos Laguna;Santos Laguna;LB;21;5000000;2025-06-30;23;2313;0;0,89;1;1,04;15,88;55,88;Mexico;Mexico;izquierdo;174;65;no;9,3;7,51;62,69;2,45;55,56;0,43;0,53;0,19;4,16;5,14;0,66;5;0,19;0;0;1,83;0;0;0;0,03;0;0;10;0,39;40;0;0,04;1,25;21,88;1,25;21,88;0;0;0,27;2,61;53,73;4,55;47,86;0,78;1,56;0,7;0,74;0,7;26,46;81,18;12,96;77,18;3,93;92,08;6,65;82,46;21,56;88,63;3,7;56,84;18,69;31,08;0,04;0,43;0,04;0,04;0,04;0;0,23;3,58;83,7;1,28;33,33;0,19;60;0,31;0,35;6,65;67,25;0;0;0;0,08;0;0
Wendell;Porto;Porto;LB;30;5000000;2025-06-30;18;1473;3;0,77;2;1,58;15,46;58,89;Brazil;Brazil;izquierdo;176;70;no;7,39;5,62;63,04;2,26;70,27;0,24;0,42;0,24;3,6;6,12;1,16;6;0,37;1;0,06;3,3;0,18;3;0,18;0,05;0;0;12;0,73;58,33;25;0,12;3,18;32,69;3,12;33,33;0,06;0;0,43;2,57;66,67;5,01;60,98;1,71;2,44;1,28;2,87;2,08;46,01;84,46;14,18;77,16;9,04;99,32;15,15;85,48;40,02;91,15;2,87;46,81;18,17;28,56;0,1;1,16;0,12;0,06;0,24;50;0,43;4,7;71,43;3,18;44,23;0,49;12,5;1,22;0,98;7,15;80,34;0,49;0,06;0;0,86;0;0
M. De Cuyper;Club Brugge;Club Brugge;LB, RB;23;4500000;2025-06-30;36;3090;3;2,35;8;7,69;16,08;57,07;Belgium;Belgium;izquierdo;182;72;no;9,82;7,43;70,2;2,16;43,24;0,03;0,04;0,09;4,57;6,68;0,52;5;0,15;1;0,03;2,88;0,09;3;0,09;0,07;0;0;31;0,9;25,81;9,677;0,23;2,77;43,16;2,18;42,67;0,52;44,44;0,26;2,04;60;3,93;44,44;1,95;1,43;0,44;2,24;0,58;51,15;84,57;17,39;76,21;9,5;98,16;16,28;85,15;43,46;89,95;5,1;61,14;18,84;33,63;0,22;1,63;0;0,03;0,44;53,33;0,61;6,79;74,25;3,41;52,99;0,44;46,67;1,19;0,99;9,84;78,7;0,73;0,09;0;3,17;0;0
G. Smal;Twente;Twente;LB;26;4000000;2024-06-30;15;1322;0;0,51;0;1,34;15,48;47,87;Netherlands;Netherlands;izquierdo;183;74;no;7,48;6,75;61,96;2,05;35,71;0,73;0,95;0,15;2,57;3,31;0,66;1;0,07;0;0;2,35;0;0;0;0,04;0;0;12;0,88;16,67;0;0;3,52;37,5;3,52;37,5;0;0;0,22;1,98;40,74;4,25;37,93;0,81;2,71;1,03;1,54;1,03;53,11;80,52;18,26;69,08;8,36;93,86;18,63;85,83;44,3;87,75;5,43;48,65;20,12;37,08;0,1;1,03;0,07;0;0,29;25;0,51;7,7;72,38;4,69;51,56;1,1;20;1,25;1,17;12,03;72,56;0,22;0,07;0;0,59;0;0
F. Ortega;Olympiacos Piraeus;Olympiacos Piraeus;LB;24;4000000;2024-12-31;28;2325;0;0,3;2;1,7;21,02;56,35;Argentina;Argentina;izquierdo;177;75;no;8,94;7,16;69,73;2,63;42,65;0,15;0,24;0,04;3,79;5,8;0,81;2;0,08;0;0;3,29;0;0;0;0,01;0;0;8;0,31;50;0;0,08;2,17;26,79;2,17;26,79;0;0;0,12;3,68;66,32;8,55;54,3;1,08;1,39;0,43;2,01;1,24;44,63;84,56;17,03;78,18;7,59;96,43;11,5;88,22;39,33;91,04;3,29;43,53;17,51;31,27;0,07;0,54;0;0,12;0,27;42,86;0,23;5,26;75,74;1,59;53,66;0,27;42,86;0,43;0,5;7,47;73,58;0,08;0;0;0,27;0;0
